ticker,ATIVO,DIV_BRUTA,DISPONIBILIDADES,DIV_LIQUIDA,ATIVO_CIRCULANTE,PATRIM_LIQ,RECEITA_LIQUIDA,EBIT,LUCRO_LIQUIDO,NRO_ACOES,CRES_REC_(5A),ROIC,SETOR,SUBSETOR,DEPOSITOS,CART_DE_CREDITO,RESULT_INT_FINANC,REC_SERVICOS
AALR3,2618910000.0,901733000.0,325320000.0,576413000.0,635558000.0,1179760000.0,914739000.0,-2432000.0,-84480000.0,118293000.0,-0.04,-0.001,SAUDE,SERVICOS_MEDICO_-_HOSPITALARES_ANALISES_E_DIAGNOSTICOS,,,,
ABCB3,49895800000.0,,,,,4093300000.0,,,418733000.0,218359000.0,0.027999999999999997,,FINANCEIROS,BANCOS,7325720000.0,17689900000.0,-5453950.0,292984000.0
ABCB4,49895800000.0,,,,,4093300000.0,,,418733000.0,218359000.0,0.027999999999999997,,FINANCEIROS,BANCOS,7325720000.0,17689900000.0,-5453950.0,292984000.0
ABEV3,121393000000.0,6782830000.0,17483800000.0,-10700900000.0,36268100000.0,73922800000.0,52032400000.0,13228200000.0,8915960000.0,15735100000.0,0.03,0.146,BEBIDAS,CERVEJAS_E_REFRIGERANTES,,,,
ABYA3,978287000.0,383159000.0,29556000.0,353603000.0,498222000.0,292060000.0,250657000.0,25802000.0,-2398000.0,104906000.0,0.16399999999999998,0.027999999999999997,CONSTRUCAO_E_ENGENHARIA,CONSTRUCAO_CIVIL,,,,
ACES3,4922360000.0,279166000.0,922471000.0,-643305000.0,2157470000.0,3105800000.0,4182420000.0,983634000.0,805922000.0,74320000.0,0.133,0.26899999999999996,SIDERURGIA_E_METALURGIA,SIDERURGIA,,,,
ACES4,4922360000.0,279166000.0,922471000.0,-643305000.0,2157470000.0,3105800000.0,4182420000.0,983634000.0,805922000.0,74320000.0,0.133,0.26899999999999996,SIDERURGIA_E_METALURGIA,SIDERURGIA,,,,
ADHM3,242000.0,0.0,0.0,0.0,23000.0,-19776000.0,33000.0,-4471000.0,-6224000.0,16308000.0,0.435,5.2170000000000005,PRODS_DE_USO_PESSOAL_E_DE_LIMPEZA,PRODUTOS_DE_USO_PESSOAL,,,,
AEDU11,3714530000.0,731941000.0,301371000.0,430570000.0,926990000.0,2415400000.0,1936840000.0,195307000.0,135159000.0,437071000.0,0.209,0.057999999999999996,DIVERSOS,EDUCACIONAL,,,,
AEDU3,3714530000.0,731941000.0,301371000.0,430570000.0,926990000.0,2415400000.0,1936840000.0,195307000.0,135159000.0,437071000.0,0.209,0.057999999999999996,DIVERSOS,EDUCACIONAL,,,,
AELP3,34762000.0,0.0,9130000.0,-9130000.0,10934000.0,-904000.0,-2919120000.0,-14417000.0,21369000.0,93947000.0,0.012,,ENERGIA_ELETRICA,ENERGIA_ELETRICA,,,,
